Scan,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
1549,0.0280762,-0.0311279,-0.0332642,0.00152588,0.0177002,-0.072937,-0.00793457,0.11261,0.00610352,0.0405884,0.0219727,0.0109863,0.00732422,-0.00610352,-0.0250244,-0.0189209
1659,0.0271606,-0.0323486,-0.0338745,0.000610352,0.0164795,-0.0726318,-0.00793457,0.11322,0.00762939,0.0396729,0.0228882,0.00976562,0.00732422,-0.00732422,-0.0256348,-0.0201416
1759,0.0259399,-0.0335693,-0.0344849,0.000305176,0.0167847,-0.0720215,-0.00793457,0.114136,0.00732422,0.0390625,0.0216675,0.00793457,0.00732422,-0.00671387,-0.0256348,-0.0189209
1759,0.0259399,-0.0335693,-0.0344849,0.000305176,0.0167847,-0.0720215,-0.00793457,0.114136,0.00732422,0.0390625,0.0216675,0.00793457,0.00732422,-0.00671387,-0.0256348,-0.0189209
1869,0.0274658,-0.032959,-0.0338745,0.00152588,0.0164795,-0.0726318,-0.00793457,0.114441,0.00701904,0.0390625,0.0213623,0.00915527,0.00701904,-0.00793457,-0.0259399,-0.0201416
1869,0.0274658,-0.032959,-0.0338745,0.00152588,0.0164795,-0.0726318,-0.00793457,0.114441,0.00701904,0.0390625,0.0213623,0.00915527,0.00701904,-0.00793457,-0.0259399,-0.0201416
1959,0.0286865,-0.032959,-0.0341797,0.00152588,0.0158691,-0.0741577,-0.00793457,0.11322,0.00823975,0.0396729,0.0201416,0.00671387,0.00640869,-0.00701904,-0.0247192,-0.0204468
1959,0.0286865,-0.032959,-0.0341797,0.00152588,0.0158691,-0.0741577,-0.00793457,0.11322,0.00823975,0.0396729,0.0201416,0.00671387,0.00640869,-0.00701904,-0.0247192,-0.0204468
2069,0.0274658,-0.0320435,-0.0341797,0.00152588,0.015564,-0.0726318,-0.00793457,0.113525,0.00732422,0.0390625,0.017395,0.00701904,0.00579834,-0.00762939,-0.0256348,-0.0198364
2069,0.0274658,-0.0320435,-0.0341797,0.00152588,0.015564,-0.0726318,-0.00793457,0.113525,0.00732422,0.0390625,0.017395,0.00701904,0.00579834,-0.00762939,-0.0256348,-0.0198364
2159,0.0296021,-0.0323486,-0.0363159,0,0.015564,-0.0732422,-0.00732422,0.11322,0.00701904,0.0393677,0.0186157,0.00640869,0.00640869,-0.00762939,-0.0259399,-0.020752
2159,0.0296021,-0.0323486,-0.0363159,0,0.015564,-0.0732422,-0.00732422,0.11322,0.00701904,0.0393677,0.0186157,0.00640869,0.00640869,-0.00762939,-0.0259399,-0.020752
2269,0.0289917,-0.0323486,-0.0366211,-0.000610352,0.0146484,-0.0732422,-0.00762939,0.113525,0.00701904,0.0393677,0.0189209,0.00732422,0.00610352,-0.00640869,-0.0256348,-0.0201416
2269,0.0289917,-0.0323486,-0.0366211,-0.000610352,0.0146484,-0.0732422,-0.00762939,0.113525,0.00701904,0.0393677,0.0189209,0.00732422,0.00610352,-0.00640869,-0.0256348,-0.0201416
2359,0.0274658,-0.0338745,-0.0378418,-0.00213623,0.0177002,-0.0720215,-0.00915527,0.113831,0.00701904,0.0390625,0.022583,0.010376,0.00671387,-0.00549316,-0.0256348,-0.0189209
2359,0.0274658,-0.0338745,-0.0378418,-0.00213623,0.0177002,-0.0720215,-0.00915527,0.113831,0.00701904,0.0390625,0.022583,0.010376,0.00671387,-0.00549316,-0.0256348,-0.0189209
2469,0.0292969,-0.0344849,-0.0469971,-0.00793457,0.0210571,-0.0698853,-0.00946045,0.115967,0.00701904,0.0402832,0.0198364,0.00732422,0.00701904,-0.00640869,-0.0250244,-0.0192261
2469,0.0292969,-0.0344849,-0.0469971,-0.00793457,0.0210571,-0.0698853,-0.00946045,0.115967,0.00701904,0.0402832,0.0198364,0.00732422,0.00701904,-0.00640869,-0.0250244,-0.0192261
2559,0.0305176,-0.0366211,-0.0518799,-0.0115967,0.0228882,-0.0689697,-0.0100708,0.115662,0.00610352,0.0384521,0.0253296,0.0119019,0.00671387,-0.00518799,-0.0244141,-0.0186157
2669,0.03479,-0.0357056,-0.0576782,-0.0125122,0.0271606,-0.0695801,-0.012207,0.115356,0.00457764,0.0375366,0.0326538,0.0167847,0.00854492,-0.00457764,-0.0244141,-0.0177002
2669,0.03479,-0.0357056,-0.0576782,-0.0125122,0.0271606,-0.0695801,-0.012207,0.115356,0.00457764,0.0375366,0.0326538,0.0167847,0.00854492,-0.00457764,-0.0244141,-0.0177002
2769,0.0393677,-0.0390625,-0.0634766,-0.0137329,0.032959,-0.0683594,-0.0131226,0.119629,0.00335693,0.0369263,0.0332642,0.0183105,0.00854492,-0.00457764,-0.0247192,-0.0192261
2769,0.0393677,-0.0390625,-0.0634766,-0.0137329,0.032959,-0.0683594,-0.0131226,0.119629,0.00335693,0.0369263,0.0332642,0.0183105,0.00854492,-0.00457764,-0.0247192,-0.0192261
