Scan,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
1561,-0.00366211,-0.0012207,0,-0.00152588,-0.00152588,-0.00244141,0,-0.00335693,-0.00305176,-0.00213623,-0.00366211,-0.000305176,-0.00152588,-0.00244141,-0.00244141,-0.000305176
1561,-0.00366211,-0.0012207,0,-0.00152588,-0.00152588,-0.00244141,0,-0.00335693,-0.00305176,-0.00213623,-0.00366211,-0.000305176,-0.00152588,-0.00244141,-0.00244141,-0.000305176
1661,-0.00274658,-0.00183105,0,-0.00213623,-0.00152588,-0.00244141,-0.000305176,-0.00396729,-0.00213623,-0.00183105,-0.00396729,0,-0.00152588,-0.00244141,-0.00305176,-0.0012207
1661,-0.00274658,-0.00183105,0,-0.00213623,-0.00152588,-0.00244141,-0.000305176,-0.00396729,-0.00213623,-0.00183105,-0.00396729,0,-0.00152588,-0.00244141,-0.00305176,-0.0012207
1771,-0.00335693,-0.000610352,-0.000305176,-0.00183105,-0.000305176,-0.00213623,-0.000305176,-0.00244141,-0.00244141,-0.000915527,-0.00305176,-0.000305176,-0.000915527,-0.00213623,-0.00183105,-0.000305176
1771,-0.00335693,-0.000610352,-0.000305176,-0.00183105,-0.000305176,-0.00213623,-0.000305176,-0.00244141,-0.00244141,-0.000915527,-0.00305176,-0.000305176,-0.000915527,-0.00213623,-0.00183105,-0.000305176
1861,-0.00274658,-0.00183105,-0.000915527,-0.00183105,-0.000610352,-0.00183105,0,-0.00427246,-0.00213623,-0.000610352,-0.00305176,-0.000305176,-0.00152588,-0.00213623,-0.00213623,-0.0012207
1861,-0.00274658,-0.00183105,-0.000915527,-0.00183105,-0.000610352,-0.00183105,0,-0.00427246,-0.00213623,-0.000610352,-0.00305176,-0.000305176,-0.00152588,-0.00213623,-0.00213623,-0.0012207
1951,-0.00335693,-0.000915527,-0.000610352,-0.00244141,-0.00152588,-0.00183105,0,-0.00366211,-0.00183105,-0.00183105,-0.00427246,0,-0.00183105,-0.00183105,-0.00213623,0
1951,-0.00335693,-0.000915527,-0.000610352,-0.00244141,-0.00152588,-0.00183105,0,-0.00366211,-0.00183105,-0.00183105,-0.00427246,0,-0.00183105,-0.00183105,-0.00213623,0
2061,-0.00396729,-0.000610352,0.000305176,-0.0012207,-0.000915527,-0.00183105,0,-0.00396729,-0.00213623,-0.00152588,-0.00305176,0.000305176,-0.000610352,-0.00274658,-0.00305176,-0.000610352
2061,-0.00396729,-0.000610352,0.000305176,-0.0012207,-0.000915527,-0.00183105,0,-0.00396729,-0.00213623,-0.00152588,-0.00305176,0.000305176,-0.000610352,-0.00274658,-0.00305176,-0.000610352
2161,-0.00335693,-0.00305176,0.000915527,-0.00213623,-0.000610352,-0.00183105,0.000305176,-0.00366211,-0.00183105,-0.0012207,-0.00335693,0,-0.00213623,-0.00244141,-0.00274658,0.000305176
2161,-0.00335693,-0.00305176,0.000915527,-0.00213623,-0.000610352,-0.00183105,0.000305176,-0.00366211,-0.00183105,-0.0012207,-0.00335693,0,-0.00213623,-0.00244141,-0.00274658,0.000305176
2271,-0.00305176,-0.00152588,-0.0012207,-0.00183105,-0.000610352,-0.0012207,-0.000305176,-0.00396729,-0.00335693,-0.0012207,-0.00305176,0.000915527,-0.000915527,-0.00244141,-0.00183105,-0.000305176
2271,-0.00305176,-0.00152588,-0.0012207,-0.00183105,-0.000610352,-0.0012207,-0.000305176,-0.00396729,-0.00335693,-0.0012207,-0.00305176,0.000915527,-0.000915527,-0.00244141,-0.00183105,-0.000305176
2361,-0.00335693,-0.0012207,-0.000915527,-0.00213623,-0.0012207,-0.00244141,0.000610352,-0.00396729,-0.00335693,-0.000915527,-0.00366211,0.000305176,-0.0012207,-0.00244141,-0.00183105,0.000305176
2361,-0.00335693,-0.0012207,-0.000915527,-0.00213623,-0.0012207,-0.00244141,0.000610352,-0.00396729,-0.00335693,-0.000915527,-0.00366211,0.000305176,-0.0012207,-0.00244141,-0.00183105,0.000305176
2471,-0.00305176,-0.0012207,-0.000610352,-0.0012207,-0.0012207,-0.00244141,-0.000305176,-0.00274658,-0.00274658,-0.00213623,-0.00274658,0,-0.0012207,-0.00213623,-0.00274658,-0.000305176
2471,-0.00305176,-0.0012207,-0.000610352,-0.0012207,-0.0012207,-0.00244141,-0.000305176,-0.00274658,-0.00274658,-0.00213623,-0.00274658,0,-0.0012207,-0.00213623,-0.00274658,-0.000305176
2581,-0.00366211,-0.0012207,-0.000610352,-0.00244141,-0.00152588,-0.00213623,0,-0.00305176,-0.00213623,-0.000915527,-0.00366211,0.000610352,-0.00183105,-0.00244141,-0.00305176,-0.000305176
2581,-0.00366211,-0.0012207,-0.000610352,-0.00244141,-0.00152588,-0.00213623,0,-0.00305176,-0.00213623,-0.000915527,-0.00366211,0.000610352,-0.00183105,-0.00244141,-0.00305176,-0.000305176
2671,-0.00366211,-0.000915527,0,-0.00183105,-0.000915527,-0.00244141,-0.000305176,-0.00335693,-0.00183105,-0.00152588,-0.00244141,0.000915527,-0.00183105,-0.00152588,-0.00274658,0
2671,-0.00366211,-0.000915527,0,-0.00183105,-0.000915527,-0.00244141,-0.000305176,-0.00335693,-0.00183105,-0.00152588,-0.00244141,0.000915527,-0.00183105,-0.00152588,-0.00274658,0
2761,-0.00335693,-0.000610352,0.000610352,-0.00244141,-0.000610352,-0.00152588,-0.000610352,-0.00396729,-0.00305176,-0.000915527,-0.00244141,-0.000305176,-0.00183105,-0.00244141,-0.00244141,0.000915527
2761,-0.00335693,-0.000610352,0.000610352,-0.00244141,-0.000610352,-0.00152588,-0.000610352,-0.00396729,-0.00305176,-0.000915527,-0.00244141,-0.000305176,-0.00183105,-0.00244141,-0.00244141,0.000915527
2871,-0.00335693,-0.000610352,-0.000305176,-0.00152588,-0.0012207,-0.00183105,0.000915527,-0.00335693,-0.00305176,-0.00213623,-0.00335693,0.000610352,-0.00213623,-0.00305176,-0.00305176,-0.000305176
2871,-0.00335693,-0.000610352,-0.000305176,-0.00152588,-0.0012207,-0.00183105,0.000915527,-0.00335693,-0.00305176,-0.00213623,-0.00335693,0.000610352,-0.00213623,-0.00305176,-0.00305176,-0.000305176
2971,-0.00305176,-0.00213623,0,-0.00244141,-0.00152588,-0.00244141,0,-0.00366211,-0.00274658,-0.0012207,-0.00366211,0,-0.00152588,-0.00274658,-0.00213623,0.000305176
2971,-0.00305176,-0.00213623,0,-0.00244141,-0.00152588,-0.00244141,0,-0.00366211,-0.00274658,-0.0012207,-0.00366211,0,-0.00152588,-0.00274658,-0.00213623,0.000305176
3081,-0.00335693,-0.000915527,-0.000610352,-0.00213623,-0.00152588,-0.00274658,0.000305176,-0.00305176,-0.00244141,-0.00152588,-0.00305176,0.000610352,-0.00213623,-0.00213623,-0.00244141,-0.000305176
3081,-0.00335693,-0.000915527,-0.000610352,-0.00213623,-0.00152588,-0.00274658,0.000305176,-0.00305176,-0.00244141,-0.00152588,-0.00305176,0.000610352,-0.00213623,-0.00213623,-0.00244141,-0.000305176
3171,-0.00396729,-0.000610352,-0.000915527,-0.00183105,-0.00152588,-0.00183105,0.000610352,-0.00335693,-0.00244141,-0.00183105,-0.00366211,-0.000610352,-0.000915527,-0.00244141,-0.00244141,-0.000305176
3171,-0.00396729,-0.000610352,-0.000915527,-0.00183105,-0.00152588,-0.00183105,0.000610352,-0.00335693,-0.00244141,-0.00183105,-0.00366211,-0.000610352,-0.000915527,-0.00244141,-0.00244141,-0.000305176
3281,-0.00366211,-0.0012207,-0.000915527,-0.00183105,-0.00152588,-0.00244141,-0.000305176,-0.00305176,-0.00274658,-0.000610352,-0.00335693,0,-0.000610352,-0.00183105,-0.00244141,0
3281,-0.00366211,-0.0012207,-0.000915527,-0.00183105,-0.00152588,-0.00244141,-0.000305176,-0.00305176,-0.00274658,-0.000610352,-0.00335693,0,-0.000610352,-0.00183105,-0.00244141,0
3371,-0.00366211,-0.00152588,-0.000610352,-0.00274658,-0.0012207,-0.00213623,-0.000915527,-0.00457764,-0.00244141,-0.000915527,-0.00335693,0,-0.000915527,-0.00213623,-0.00305176,-0.000915527
3371,-0.00366211,-0.00152588,-0.000610352,-0.00274658,-0.0012207,-0.00213623,-0.000915527,-0.00457764,-0.00244141,-0.000915527,-0.00335693,0,-0.000915527,-0.00213623,-0.00305176,-0.000915527
3481,-0.00335693,-0.00152588,-0.000915527,-0.00213623,-0.000915527,-0.00244141,-0.000610352,-0.00427246,-0.00213623,-0.000305176,-0.00305176,0,-0.000915527,-0.00183105,-0.00274658,0
3481,-0.00335693,-0.00152588,-0.000915527,-0.00213623,-0.000915527,-0.00244141,-0.000610352,-0.00427246,-0.00213623,-0.000305176,-0.00305176,0,-0.000915527,-0.00183105,-0.00274658,0
3571,-0.00305176,-0.00183105,-0.000305176,-0.00183105,-0.0012207,-0.00213623,-0.000305176,-0.00488281,-0.00305176,-0.00244141,-0.00396729,0.0012207,-0.00152588,-0.00305176,-0.00305176,0
3571,-0.00305176,-0.00183105,-0.000305176,-0.00183105,-0.0012207,-0.00213623,-0.000305176,-0.00488281,-0.00305176,-0.00244141,-0.00396729,0.0012207,-0.00152588,-0.00305176,-0.00305176,0
3681,-0.00366211,-0.000915527,-0.000610352,-0.0012207,0.000305176,-0.00244141,0.000305176,-0.00335693,-0.00274658,-0.00183105,-0.00427246,0,-0.0012207,-0.00305176,-0.00213623,-0.000305176
